Alabama	34.4	62.1
Alaska	36.6	51.3
Arizona	44.6	48.1
Arkansas	33.7	60.6
California	61.5	31.5
Colorado	48.2	43.3
Connecticut	54.6	40.9
Delaware	53.1	41.7
Florida	47.4	48.6
Georgia	45.3	50.4
Hawaii	62.2	30
Idaho	27.5	59.2
Illinois	55.2	38.4
Indiana	37.5	56.5
Iowa	41.7	51.1
Kansas	35.7	56.2
Kentucky	32.7	62.5
Louisiana	38.4	58.1
Maine	47.8	44.9
Maryland	60.3	33.9
Massachusetts	60	32.8
Michigan	47	47.3
Minnesota	46.4	44.9
Mississippi	40.1	57.9
Missouri	37.9	56.4
Montana	35.4	55.6
Nebraska	33.7	58.7
Nevada	47.9	45.5
New Hampshire	46.8	46.5
New Jersey	55	41
New Mexico	48.3	40
New York	59	36.5
North Carolina	46.2	49.8
North Dakota	27.2	63
Ohio	43.2	51.3
Oklahoma	28.9	65.3
Oregon	50.1	39.1
Pennsylvania	47.5	48.2
Rhode Island	54.4	38.9
South Carolina	40.7	54.9
South Dakota	31.7	61.5
Tennessee	34.7	60.7
Texas	43.2	52.2
Utah	27.2	45.1
Vermont	56.7	30.3
Virginia	49.8	44.4
Washington	52.5	36.8
West Virginia	26.2	67.9
Wisconsin	46.5	47.2
Wyoming	21.9	68.2
Washington DC	90.9	4.1
